First Name,Last Name,End Team,Teams,OGP,Pos,GP,G,A,A1,PTS,+/-,Sh,Misses,Blocked,SHG,SHA,SHP,HitF,BkS,SOG,PPP,GWG,Total
Justin,Abdelkader,DET,DET,,LW,71,23,21,15,44,3,154,47,36,0,0,0,153,28,,14,5,2010
Will,Acton,EDM,EDM,,C/RW,3,0,0,0,0,-2,2,0,1,0,0,0,3,3,,0,0,16
Luke,Adam,CBJ,CBJ,,C,3,0,0,0,0,0,0,0,1,0,0,0,2,0,,0,0,4
Craig,Adams,PIT,PIT,,RW,70,1,6,3,7,-1,51,13,12,0,1,1,183,29,,0,1,741
Andrew,Agozzino,COL,COL,,LW,1,0,1,0,1,1,1,1,0,0,0,0,1,0,,0,0,29
Jason,Akeson,PHI,PHI,,RW,13,0,0,0,0,-1,9,5,6,0,0,0,11,4,,0,0,48
Bryan,Allen,MTL,"ANA, MTL",6,D,11,0,2,1,2,-2,6,9,15,0,0,0,20,15,,0,0,132
Conor,Allen,NYR,NYR,,D,4,0,0,0,0,-1,2,0,2,0,0,0,6,0,,0,0,16
Mark,Alt,PHI,PHI,,D,1,0,0,0,0,-1,0,3,3,0,0,0,1,0,,0,0,2
Karl,Alzner,WSH,WSH,,D,82,5,16,6,21,14,72,36,62,0,0,0,120,165,0,0,0,1239
Josh,Anderson,CBJ,CBJ,,RW,6,0,1,0,1,-1,10,3,6,0,0,0,24,2,,0,0,97
Joakim,Andersson,DET,DET,,C,68,3,5,5,8,-4,74,14,15,0,0,0,27,24,,0,1,470
Andy,Andreoff,LAK,LAK,,LW/C,18,2,1,0,3,1,14,10,4,0,0,0,33,0,,0,1,189
Sven,Andrighetto,MTL,MTL,,RW,12,2,1,1,3,0,12,1,8,0,0,0,5,4,,0,0,117
Mike,Angelidis,TBL,TBL,,LW,3,0,0,0,0,0,0,0,0,0,0,0,5,0,,0,0,10
Artem,Anisimov,CBJ,CBJ,,C,52,7,20,15,27,-6,88,48,39,0,3,3,33,26,0,4,2,1109
Mark,Arcobello,ARI,"EDM, NSH, PIT, ARI",36,C/RW,77,17,14,7,31,-10,129,57,57,0,1,1,111,27,0,4,2,1409
Joel,Armia,BUF,BUF,,RW,1,0,0,0,0,0,0,0,0,0,0,0,4,0,,0,0,8
Viktor,Arvidsson,NSH,NSH,,LW,6,0,0,0,0,0,9,5,4,0,0,0,3,5,,0,0,34
Carter,Ashton,TOR,TOR,,RW,7,0,0,0,0,-3,4,1,2,0,0,0,6,3,,0,0,26
Cam,Atkinson,CBJ,CBJ,,RW,78,22,18,9,40,-2,212,63,62,1,0,1,55,39,2,10,7,1872
Keith,Aulie,EDM,EDM,,D,31,0,1,0,1,-3,25,15,19,0,0,0,59,37,0,0,0,267
David,Backes,STL,STL,,C/RW,80,26,32,18,58,7,183,77,45,0,0,0,227,87,,16,3,2664
